facility_name,location_type,operator,status,changing_stations,latitude,longitude,location_1,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer,accessibility,restroom_type,open,hours_of_operation,website,additional_notes
"Bay Ridge Library, BPL",Library,BPL,Operational,Yes,40.633634,-74.029540,"{'type': 'Point', 'coordinates': [-74.02954, 40.633634]}",2,41,44,10,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/bay-ridge'},
John J Carty Park,Park,NYC Parks,Operational,Yes,40.614500,-74.029400,"{'type': 'Point', 'coordinates': [-74.0294, 40.6145]}",2,41,44,10,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Marble Hill Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.877690,-73.907900,"{'type': 'Point', 'coordinates': [-73.9079, 40.87769]}",5,33,40,48,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Union Square Park,Park,NYC Parks,Operational,Yes,40.736450,-73.989900,"{'type': 'Point', 'coordinates': [-73.9899, 40.73645]}",4,7,50,11,Fully Accessible,,Year Round,12:00pm-11:00pm,,
Paerdegat Basin Marina 2,Park,NYC Parks Concessionaire,Operational,No,40.626089,-73.902536,"{'type': 'Point', 'coordinates': [-73.902536, 40.626089]}",2,42,8,5,Partially Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,9:00am-5:00pm,,
Hollis Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.706720,-73.753100,"{'type': 'Point', 'coordinates': [-73.7531, 40.70672]}",3,71,6,41,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Woodside Library, QPL",Library,QPL,Operational,Yes,40.745350,-73.909795,"{'type': 'Point', 'coordinates': [-73.909795, 40.74535]}",3,66,33,53,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/woodside'},"Yes, a key is needed to enter"
"Kips Bay Library, NYPL",Library,NYPL,Operational,Yes,40.743818,-73.979903,"{'type': 'Point', 'coordinates': [-73.979903, 40.743818]}",4,9,50,71,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/kips-bay'},
"Woodhaven Library, QPL",Library,QPL,Operational,Yes,40.694539,-73.861459,"{'type': 'Point', 'coordinates': [-73.861459, 40.694539]}",3,60,41,46,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/woodhaven'},
Rockaway Beach 07b,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.580570,-73.826100,"{'type': 'Point', 'coordinates': [-73.8261, 40.58057]}",3,58,41,51,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"East Flatbush Library, BPL",Library,BPL,Operational,Yes,40.655719,-73.914942,"{'type': 'Point', 'coordinates': [-73.914942, 40.655719]}",2,40,25,61,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/east-flatbush'},
Ferry Point Golf Course,Park,NYC Parks Concessionaire,Operational,No,40.815276,-73.831236,"{'type': 'Point', 'coordinates': [-73.831236, 40.815276]}",5,28,12,43,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,6:30am-10:00pm Daily,,
Slattery Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.857150,-73.898200,"{'type': 'Point', 'coordinates': [-73.8982, 40.85715]}",5,29,22,6,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Rudd Playground,Park,NYC Parks,Operational,Yes,40.683320,-73.905000,"{'type': 'Point', 'coordinates': [-73.905, 40.68332]}",2,53,37,42,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Foster Park Zone 1,Park,NYC Parks,Operational,No,40.831190,-73.924700,"{'type': 'Point', 'coordinates': [-73.9247, 40.83119]}",5,27,42,50,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Douglaston-Little Neck Library, QPL",Library,QPL,Operational,Yes,40.768234,-73.738231,"{'type': 'Point', 'coordinates': [-73.738231, 40.768234]}",3,69,20,26,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/douglaston'},"Yes, a key is needed to enter"
Benson Playground,Park,NYC Parks,Operational,Yes,40.602370,-74.002300,"{'type': 'Point', 'coordinates': [-74.0023, 40.60237]}",2,37,44,1,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Willink Hill,Park,NYC Parks,Operational,Yes,40.662910,-73.963500,"{'type': 'Point', 'coordinates': [-73.9635, 40.66291]}",2,50,27,13,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Neufeld Playground,Park,NYC Parks,Operational,Yes,40.783440,-73.984800,"{'type': 'Point', 'coordinates': [-73.9848, 40.78344]}",4,12,19,20,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Brigadier General Charles Young Playground,Park,NYC Parks,Operational,Yes,40.819610,-73.936200,"{'type': 'Point', 'coordinates': [-73.9362, 40.81961]}",4,20,36,18,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Seasonal,"8am-4pm, Open later seasonally",,
Kaiser Park Zone 1,Park,NYC Parks,Operational,Yes,40.578520,-73.995400,"{'type': 'Point', 'coordinates': [-73.9954, 40.57852]}",2,35,45,21,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Hilton White Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.822910,-73.907500,"{'type': 'Point', 'coordinates': [-73.9075, 40.82291]}",5,25,43,34,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Grove Hill Playground,Park,NYC Parks,Operational,"""Yes, in men's restroom only""",40.819940,-73.908500,"{'type': 'Point', 'coordinates': [-73.9085, 40.81994]}",5,23,43,49,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Gen. Douglas MacArthur Park,Park,NYC Parks,Operational,Yes,40.585930,-74.100800,"{'type': 'Point', 'coordinates': [-74.1008, 40.58593]}",1,76,14,30,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Holcombe Rucker Park,Park,NYC Parks,Operational,Yes,40.829190,-73.936200,"{'type': 'Point', 'coordinates': [-73.9362, 40.82919]}",4,20,36,18,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Herbert Von King Park,Park,NYC Parks,Operational,Yes,40.689850,-73.946500,"{'type': 'Point', 'coordinates': [-73.9465, 40.68985]}",2,51,49,69,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Fulton Park,Park,NYC Parks,Operational,Yes,40.679790,-73.931600,"{'type': 'Point', 'coordinates': [-73.9316, 40.67979]}",2,52,49,69,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Schmidts Lane Recreation Fac.,Park,NYC Parks Concessionaire,Operational,Yes,40.609563,-74.119642,"{'type': 'Point', 'coordinates': [-74.119642, 40.609563]}",1,76,13,30,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,https://sifunpark.com/2023-hours/,,
Bleecker Playground,Park,NYC Parks,Operational,Yes,40.736360,-74.005600,"{'type': 'Point', 'coordinates': [-74.0056, 40.73636]}",4,3,10,57,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
FDR Boardwalk/South Beach Restroom,Park,NYC Parks Concessionaire,Operational,,40.589204,-74.066453,"{'type': 'Point', 'coordinates': [-74.066453, 40.589204]}",1,76,14,31,,,Year Round,Concession Operating Hours,,
Dyckman Marina Restaurant,Park,NYC Parks Concessionaire,Operational,"""Yes, in women's restroom only""",40.860769,-73.932760,"{'type': 'Point', 'coordinates': [-73.93276, 40.860769]}",4,22,39,47,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,Mon-Thurs-4:00pm-10pm Fri-Sat 11:00am-11:00pm Sunday 11:00am-10:00pm,,
Lyons Square Playground,Park,NYC Parks,Operational,Yes,40.822630,-73.888300,"{'type': 'Point', 'coordinates': [-73.8883, 40.82263]}",5,24,43,8,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Olinville Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.884330,-73.867000,"{'type': 'Point', 'coordinates': [-73.867, 40.88433]}",5,30,2,29,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Eastchester Playground,Park,NYC Parks,Operational,Yes,40.869780,-73.852700,"{'type': 'Point', 'coordinates': [-73.8527, 40.86978]}",5,32,2,59,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
550 Madison Avenue POPS,Privately Owned Public Space,550 Madison Property Management,Operational,Yes,40.761470,-73.973505,"{'type': 'Point', 'coordinates': [-73.973505, 40.76147]}",4,10,51,11,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,Everyday 7:00 am-11:00 pm,,Restroom next to Black Box Coffee.
Crowley Playground,Park,NYC Parks,Operational,Yes,40.729310,-73.879900,"{'type': 'Point', 'coordinates': [-73.8799, 40.72931]}",3,68,5,66,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Willoughby Playground,Park,NYC Parks,Operational,Yes,40.694490,-73.946700,"{'type': 'Point', 'coordinates': [-73.9467, 40.69449]}",2,51,49,69,Partially Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Vidalia Park,Park,NYC Parks,Operational,Yes,40.844080,-73.881400,"{'type': 'Point', 'coordinates': [-73.8814, 40.84408]}",5,31,43,35,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Rev J Polite Playground,Park,NYC Parks,Operational,No,40.826900,-73.897800,"{'type': 'Point', 'coordinates': [-73.8978, 40.8269]}",5,24,43,8,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Coney Island Library, BPL",Library,BPL,Operational,Yes,40.576646,-73.986063,"{'type': 'Point', 'coordinates': [-73.986063, 40.576646]}",2,35,45,21,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/coney-island-library'},
Wards Meadow,Park,NYC Parks,Operational,Yes,40.783080,-73.930800,"{'type': 'Point', 'coordinates': [-73.9308, 40.78308]}",4,16,35,7,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Herman Dolgon Playground,Park,NYC Parks,Operational,Yes,40.598170,-73.939600,"{'type': 'Point', 'coordinates': [-73.9396, 40.59817]}",2,36,8,32,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Wingate Park,Park,NYC Parks,Operational,Yes,40.659260,-73.944600,"{'type': 'Point', 'coordinates': [-73.9446, 40.65926]}",2,44,11,17,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Alley Springfield Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.741590,-73.748500,"{'type': 'Point', 'coordinates': [-73.7485, 40.74159]}",3,69,16,26,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Beach 59th St Playground,Park,NYC Parks,Operational,Yes,40.588900,-73.789100,"{'type': 'Point', 'coordinates': [-73.7891, 40.5889]}",3,58,47,51,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Coney Island Beach Zone 6b,Park,NYC Parks,Operational,No,40.572370,-73.988500,"{'type': 'Point', 'coordinates': [-73.9885, 40.57237]}",2,35,45,21,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Mill Basin Library, BPL",Library,BPL,Operational,Yes,40.619877,-73.917023,"{'type': 'Point', 'coordinates': [-73.917023, 40.619877]}",2,38,8,5,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/mill-basin'},
Triborough Bridge Playground B,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.774750,-73.923500,"{'type': 'Point', 'coordinates': [-73.9235, 40.77475]}",3,72,4,39,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Bensonhurst Indoor Tennis,Park,NYC Parks Concessionaire,Operational,No,40.595081,-74.001441,"{'type': 'Point', 'coordinates': [-74.001441, 40.595081]}",2,37,44,1,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,Mon-Fri - 7:00am - 12:00am Sat-Sun 7:00am-10:00pm,,
Tiger Playground,Park,NYC Parks,Operational,Yes,40.688030,-73.911200,"{'type': 'Point', 'coordinates': [-73.9112, 40.68803]}",2,53,37,42,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
East River Park Zone 5,Park,NYC Parks,Operational,No,40.721800,-73.974000,"{'type': 'Point', 'coordinates': [-73.974, 40.7218]}",4,5,50,70,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Kensington Library, BPL",Library,BPL,Operational,Yes,40.631300,-73.975437,"{'type': 'Point', 'coordinates': [-73.975437, 40.6313]}",2,43,18,60,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/kensington'},The restrooms have a free feminine hygiene product dispenser.
"96th Street Library, NYPL",Library,NYPL,Operational,Yes,40.785968,-73.951807,"{'type': 'Point', 'coordinates': [-73.951807, 40.785968]}",4,11,51,23,Partially Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/96th-street'},
Marcus Garvey Park Zone 1,Park,NYC Parks,Operational,Yes,40.804610,-73.944800,"{'type': 'Point', 'coordinates': [-73.9448, 40.80461]}",4,16,36,7,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Seasonal,"8am-4pm, Open later seasonally",,
Mafera Park,Park,NYC Parks,Operational,Yes,40.706040,-73.891300,"{'type': 'Point', 'coordinates': [-73.8913, 40.70604]}",3,62,34,54,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Edenwald Playground,Park,NYC Parks,Operational,Yes,40.884090,-73.845200,"{'type': 'Point', 'coordinates': [-73.8452, 40.88409]}",5,30,2,29,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Dairy, Chess & Checkers House, Carousel",Park,NYC Parks,Operational,,40.769105,-73.974625,"{'type': 'Point', 'coordinates': [-73.974625, 40.769105]}",4,13,19,19,,,Year Round,"8am-4pm, Open later seasonally",,
Hudson River Park Pier 25,Park,Hudson River Park,Operational,,40.719928,-74.012697,"{'type': 'Point', 'coordinates': [-74.012697, 40.719928]}",4,1,32,56,Fully Accessible,,Year Round,7:30am - 11pm,,
Pfc Norton Playground,Park,NYC Parks,Operational,Yes,40.614570,-73.944800,"{'type': 'Point', 'coordinates': [-73.9448, 40.61457]}",2,36,26,32,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Fordham Plaza APT,Public Plaza,NYC DOT/JCDecaux,Operational,No,40.860834,-73.891159,"{'type': 'Point', 'coordinates': [-73.891159, 40.860834]}",5,31,22,35,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,8am-8pm,{'url': 'https://portal.311.nyc.gov/article/?kanumber=KA-02226'},This unit costs $.25 to use.
Newport Playground,Park,NYC Parks,Operational,Yes,40.660940,-73.906900,"{'type': 'Point', 'coordinates': [-73.9069, 40.66094]}",2,46,25,55,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
McCarren Park Zone 1,Park,NYC Parks,Operational,Yes,40.720770,-73.950100,"{'type': 'Point', 'coordinates': [-73.9501, 40.72077]}",2,57,38,36,,,Year Round,"8am-4pm, Open later seasonally",,
Brooklyn Bridge Park Zone 6,Park,NYC Parks,Operational,No,40.692930,-74.001700,"{'type': 'Point', 'coordinates': [-74.0017, 40.69293]}",4,54,32,68,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Port Richmond Library, NYPL",Library,NYPL,Operational,Yes,40.637594,-74.131106,"{'type': 'Point', 'coordinates': [-74.131106, 40.637594]}",1,75,13,4,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm 
Wednesday: 11:00 am - 6:00 pm  
Thursday: 11:00 am - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/port-richmond'},
Wolfe's Pond Park Zone 2,Park,NYC Parks,Operational,Yes,40.517390,-74.191000,"{'type': 'Point', 'coordinates': [-74.191, 40.51739]}",1,77,9,15,,,Year Round,"8am-4pm, Open later seasonally",,
MacNeil Playground,Park,NYC Parks,Operational,Yes,40.793520,-73.851400,"{'type': 'Point', 'coordinates': [-73.8514, 40.79352]}",3,67,20,22,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Pilgrim Hill & Conservatory Water,Park,NYC Parks,Operational,,40.773980,-73.966500,"{'type': 'Point', 'coordinates': [-73.9665, 40.77398]}",4,13,19,19,Fully Accessible,,Year Round,6:00am-11:00pm,,
Horatio Playground,Park,NYC Parks,Operational,Yes,40.758780,-73.754000,"{'type': 'Point', 'coordinates': [-73.754, 40.75878]}",3,69,16,26,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Roosevelt Island Library, NYPL",Library,NYPL,Operational,Yes,40.762333,-73.949446,"{'type': 'Point', 'coordinates': [-73.949446, 40.762333]}",4,72,1,23,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 6:00 pm
Wednesday: 10:00 am - 8:00 pm
Thursday: 10:00 am - 6:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/roosevelt-island'},
Wright Brothers Playground,Park,NYC Parks,Operational,Yes,40.831690,-73.941600,"{'type': 'Point', 'coordinates': [-73.9416, 40.83169]}",4,21,23,47,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
St Mary's Playground East,Park,NYC Parks,Operational,Yes,40.809910,-73.910500,"{'type': 'Point', 'coordinates': [-73.9105, 40.80991]}",5,23,35,49,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Cambria Heights Library, QPL",Library,QPL,Operational,Yes,40.695731,-73.741164,"{'type': 'Point', 'coordinates': [-73.741164, 40.695731]}",3,63,6,63,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/cambria-heights'},"Yes, a key is needed to enter"
"Pomonok Library, QPL",Library,QPL,Operational,Yes,40.732933,-73.810096,"{'type': 'Point', 'coordinates': [-73.810096, 40.732933]}",3,65,24,25,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/pomonok'},"Yes, a key is needed to enter"
Shore Road Park Zone 4,Park,NYC Parks,Operational,Yes,40.612000,-74.035700,"{'type': 'Point', 'coordinates': [-74.0357, 40.612]}",2,41,44,10,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Webster Library, NYPL",Library,NYPL,Operational,Yes,40.770661,-73.951343,"{'type': 'Point', 'coordinates': [-73.951343, 40.770661]}",4,11,1,23,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm
Wednesday: 11:00 am - 7:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/webster'},
Slope Park Playground,Park,NYC Parks,Operational,Yes,40.661300,-73.989300,"{'type': 'Point', 'coordinates': [-73.9893, 40.6613]}",2,45,7,9,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Sternberg Park,Park,NYC Parks,Operational,Yes,40.705860,-73.947200,"{'type': 'Point', 'coordinates': [-73.9472, 40.70586]}",2,56,30,36,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Twin Island,Park,NYC Parks,Operational,Yes,40.870480,-73.786600,"{'type': 'Point', 'coordinates': [-73.7866, 40.87048]}",5,28,12,44,,,Year Round,"8am-4pm, Open later seasonally",,
Williamsbridge Oval,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.876670,-73.878600,"{'type': 'Point', 'coordinates': [-73.8786, 40.87667]}",5,34,40,24,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"58th Street Library, NYPL",Library,NYPL,Operational,No,40.762194,-73.969383,"{'type': 'Point', 'coordinates': [-73.969383, 40.762194]}",4,10,51,11,Partially Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm
Wednesday: 10:00 am - 6:00 pm
Thursday: 10:00 am - 6:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/58th-street'},
Jacob H. Schiff Playground,Park,NYC Parks,Operational,Yes,40.820370,-73.952100,"{'type': 'Point', 'coordinates': [-73.9521, 40.82037]}",4,19,23,37,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Sedgwick Library, NYPL",Library,NYPL,Operational,No,40.849453,-73.917496,"{'type': 'Point', 'coordinates': [-73.917496, 40.849453]}",5,29,29,6,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/sedgwick'},
Banneker Playground,Park,NYC Parks,Operational,No,40.690690,-73.948800,"{'type': 'Point', 'coordinates': [-73.9488, 40.69069]}",2,51,49,69,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Calvert Vaux Park Zone 2,Park,NYC Parks,Operational,Yes,40.585280,-73.992000,"{'type': 'Point', 'coordinates': [-73.992, 40.58528]}",2,35,44,21,,,Year Round,"8am-4pm, Open later seasonally",,
Horseshoe Playground,Park,NYC Parks,Operational,Yes,40.824240,-73.897800,"{'type': 'Point', 'coordinates': [-73.8978, 40.82424]}",5,24,43,8,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Battery Park City Zone 1,Park,NYC Parks,Operational,Yes,40.705230,-74.018400,"{'type': 'Point', 'coordinates': [-74.0184, 40.70523]}",4,1,32,56,,,Year Round,"8am-4pm, Open later seasonally",,
Keltch Memorial Park Snack Bar,Park,NYC Parks Concessionaire,Operational,No,40.840542,-73.917785,"{'type': 'Point', 'coordinates': [-73.917785, 40.840542]}",5,27,42,50,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,6:30am-2:00am,,
"Van Cortlandt Library, NYPL",Library,NYPL,Operational,Yes,40.883625,-73.894476,"{'type': 'Point', 'coordinates': [-73.894476, 40.883625]}",5,33,40,48,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/van-cortlandt'},
